rho,lambda,dual_theta_mse,dual_z_mse,dual_joint_mse,dual_theta_cls,dual_z_cls,dual_weighted_cls,single_theta_mse,single_z_mse,single_joint_mse,single_theta_cls,single_z_cls,single_weighted_cls,best_tau,gap,cls_gap
0.0100000000,1.0000000000,0.5368745880,0.5266337409,1.0635083288,0.2440000000,0.2640000000,0.5080000000,0.5368745880,0.5266337409,1.0635083288,0.2440000000,0.2640000000,0.5080000000,0.0100000000,0.0000000000,0.0000000000
0.0114441930,1.1444192980,0.5238560202,0.5323881713,1.0562441914,0.2275000000,0.2340000000,0.4615000000,0.5275206956,0.5345953794,1.0621160750,0.2505000000,0.2395000000,0.4900000000,0.0114441930,0.0058718835,0.0285000000
0.0130969553,1.3096955296,0.3712441162,0.3914566305,0.7627007467,0.1590000000,0.1655000000,0.3245000000,0.3754105893,0.3973478967,0.7727584860,0.1690000000,0.1840000000,0.3530000000,0.0130969553,0.0100577393,0.0285000000
0.0149884084,1.4988408385,0.5026390362,0.5215981013,1.0242371375,0.1770000000,0.1870000000,0.3640000000,0.5437147641,0.5649363887,1.1086511528,0.2400000000,0.2765000000,0.5165000000,0.0149884084,0.0844140154,0.1525000000
0.0171530238,1.7153023802,0.6914109978,0.6702963947,1.3617073925,0.3595000000,0.3570000000,0.7165000000,0.5668059824,0.5549148715,1.1217208539,0.2805000000,0.2450000000,0.5255000000,0.0136495019,-0.2399865386,-0.1910000000
0.0196302515,1.9630251458,0.5419980599,0.5706287036,1.1126267635,0.2235000000,0.2400000000,0.4635000000,0.5578867233,0.5791732423,1.1370599655,0.2515000000,0.2705000000,0.5220000000,0.0155030008,0.0244332020,0.0585000000
0.0224652386,2.2465238592,0.5105135968,0.5345879294,1.0451015262,0.1925000000,0.2005000000,0.3930000000,0.5835435181,0.6055057246,1.1890492426,0.2575000000,0.2895000000,0.5470000000,0.0158510304,0.1439477165,0.1540000000
0.0257096526,2.5709652578,0.3495728890,0.4324402295,0.7820131186,0.1115000000,0.1425000000,0.2540000000,0.4710033558,0.5303028879,1.0013062437,0.2170000000,0.2320000000,0.4490000000,0.0202593649,0.2192931251,0.1950000000
0.0294226226,2.9422622555,0.3168687689,0.3942631319,0.7111319008,0.0895000000,0.1165000000,0.2060000000,0.4767577815,0.5453878113,1.0221455927,0.2195000000,0.2465000000,0.4660000000,0.0159457008,0.3110136919,0.2600000000
0.0336718170,3.3671817049,0.2178714528,0.2956440400,0.5135154928,0.0350000000,0.0605000000,0.0955000000,0.4968967610,0.5500853101,1.0469820711,0.2430000000,0.2435000000,0.4865000000,0.0114492949,0.5334665783,0.3910000000
0.0385346772,3.8534677229,0.3173638199,0.3872009648,0.7045647846,0.0985000000,0.1255000000,0.2240000000,0.4548739991,0.5159513838,0.9708253829,0.1980000000,0.2400000000,0.4380000000,0.0222291474,0.2662605982,0.2140000000
0.0440998283,4.4099828262,0.1889982074,0.2995141893,0.4885123967,0.0400000000,0.0830000000,0.1230000000,0.5287351947,0.6165309440,1.1452661387,0.2305000000,0.2870000000,0.5175000000,0.0246142121,0.6567537420,0.3945000000
0.0504686945,5.0468694500,0.3109067365,0.4407539974,0.7516607339,0.1070000000,0.1560000000,0.2630000000,0.5668257085,0.6431701037,1.2099958123,0.2560000000,0.2770000000,0.5330000000,0.0422097773,0.4583350784,0.2700000000
0.0577573479,5.7757347930,0.4672046883,0.5626297231,1.0298344114,0.1590000000,0.1960000000,0.3550000000,0.5737479687,0.6557750574,1.2295230261,0.2590000000,0.2930000000,0.5520000000,0.0285181553,0.1996886148,0.1970000000
0.0660986236,6.6098623571,0.3798727375,0.5144682932,0.8943410307,0.1195000000,0.1685000000,0.2880000000,0.6002934213,0.7058466327,1.3061400540,0.2680000000,0.3170000000,0.5850000000,0.0386217467,0.4117990233,0.2970000000
0.0756445404,7.5644540384,0.2358177869,0.3917518596,0.6275696465,0.0670000000,0.1270000000,0.1940000000,0.5344867267,0.6254460377,1.1599327644,0.2160000000,0.2895000000,0.5055000000,0.0434921124,0.5323631179,0.3115000000
0.0865690718,8.6569071802,0.2271331777,0.3491667182,0.5762998959,0.0715000000,0.1165000000,0.1880000000,0.4933506589,0.5681597376,1.0615103966,0.2125000000,0.2485000000,0.4610000000,0.0537537553,0.4852105006,0.2730000000
0.0990713164,9.9071316378,0.2185315147,0.3653242999,0.5838558146,0.0660000000,0.1205000000,0.1865000000,0.4881183618,0.5870120254,1.0751303872,0.2075000000,0.2510000000,0.4585000000,0.0445378574,0.4912745726,0.2720000000
0.1133791263,11.3379126338,0.2687949151,0.4747232905,0.7435182056,0.0915000000,0.1640000000,0.2555000000,0.5179889646,0.6309816788,1.1489706434,0.2105000000,0.2795000000,0.4900000000,0.0669640084,0.4054524378,0.2345000000
0.1297532602,12.9753260169,0.2335440281,0.4648192418,0.6983632699,0.0695000000,0.1635000000,0.2330000000,0.5268736395,0.6682322764,1.1951059159,0.2190000000,0.2830000000,0.5020000000,0.0759864903,0.4967426460,0.2690000000
0.1484921349,14.8492134913,0.2479568457,0.4833147314,0.7312715771,0.0740000000,0.1645000000,0.2385000000,0.5175406541,0.6551109602,1.1726516143,0.2155000000,0.2760000000,0.4915000000,0.0778328824,0.4413800372,0.2530000000
0.1699372648,16.9937264792,0.1580855838,0.4199971493,0.5780827331,0.0485000000,0.1405000000,0.1890000000,0.5561601096,0.6813895865,1.2375496961,0.2290000000,0.2945000000,0.5235000000,0.0818085679,0.6594669630,0.3345000000
0.1944794853,19.4479485273,0.2047504233,0.4801381614,0.6848885847,0.0640000000,0.1745000000,0.2385000000,0.5450909436,0.7142114826,1.2593024262,0.2070000000,0.3150000000,0.5220000000,0.0928275240,0.5744138414,0.2835000000
0.2225660760,22.2566076006,0.1873464710,0.4536100921,0.6409565631,0.0600000000,0.1540000000,0.2140000000,0.5817149605,0.6993259782,1.2810409387,0.2325000000,0.2985000000,0.5310000000,0.0967616637,0.6400843756,0.3170000000
0.2547089125,25.4708912456,0.1937081369,0.4961885468,0.6898966837,0.0620000000,0.1685000000,0.2305000000,0.5410136183,0.7050118734,1.2460254917,0.2080000000,0.2975000000,0.5055000000,0.1348514859,0.5561288080,0.2750000000
0.2914937948,29.1493794781,0.1783759688,0.4869087565,0.6652847253,0.0545000000,0.1670000000,0.2215000000,0.5409725425,0.7013697138,1.2423422562,0.2005000000,0.3055000000,0.5060000000,0.1651088257,0.5770575310,0.2845000000
0.3335911240,33.3591123987,0.1573772278,0.5097547840,0.6671320117,0.0485000000,0.1765000000,0.2250000000,0.5342838413,0.7306139516,1.2648977929,0.2080000000,0.2990000000,0.5070000000,0.1552858108,0.5977657811,0.2820000000
0.3817681199,38.1768119924,0.1538010525,0.4761501676,0.6299512201,0.0470000000,0.1655000000,0.2125000000,0.5497587641,0.6981903821,1.2479491462,0.2095000000,0.2945000000,0.5040000000,0.1920905077,0.6179979261,0.2915000000
0.4369028038,43.6902803793,0.1344207933,0.4684839345,0.6029047279,0.0390000000,0.1680000000,0.2070000000,0.5667252511,0.6834010995,1.2501263505,0.2040000000,0.2860000000,0.4900000000,0.2626567614,0.6472216227,0.2830000000
0.5000000000,50.0000000000,0.1027682262,0.4861394285,0.5889076547,0.0305000000,0.1710000000,0.2015000000,0.5571516699,0.7278341941,1.2849858640,0.1970000000,0.3130000000,0.5100000000,0.2300000000,0.6960782093,0.3085000000
