rho,lambda,dual_theta_mse,dual_z_mse,dual_joint_mse,single_theta_mse,single_z_mse,single_joint_mse,best_tau,gap
0.0100000000,1.0000000000,0.0577658056,0.0030339447,0.0607997503,0.0577658056,0.0030339447,0.0607997503,0.0100000000,0.0000000000
0.0114441930,1.1444192980,0.0910955918,0.0245955433,0.1156911351,0.0914425747,0.0252205020,0.1166630767,0.0112968263,0.0009719416
0.0130969553,1.3096955296,0.0935095417,0.0150522398,0.1085617815,0.0916073060,0.0152364563,0.1068437624,0.0130969553,-0.0017180191
0.0149884084,1.4988408385,0.0753316375,0.0250224947,0.1003541322,0.0747395559,0.0253013724,0.1000409284,0.0100000000,-0.0003132038
0.0171530238,1.7153023802,0.0970733280,0.0254376785,0.1225110065,0.0933066088,0.0216557055,0.1149623143,0.0114598008,-0.0075486923
0.0196302515,1.9630251458,0.1047992387,0.0493178629,0.1541171016,0.1088529627,0.0527023675,0.1615553302,0.0121618932,0.0074382286
0.0224652386,2.2465238592,0.0895485867,0.0396517480,0.1292003348,0.0920111556,0.0436863823,0.1356975378,0.0120351410,0.0064972031
0.0257096526,2.5709652578,0.0777810115,0.0357904261,0.1135714376,0.0792517793,0.0398170474,0.1190688266,0.0100000000,0.0054973890
0.0294226226,2.9422622555,0.0613294546,0.0238621129,0.0851915675,0.0652199169,0.0274914386,0.0927113555,0.0100000000,0.0075197880
0.0336718170,3.3671817049,0.0410035120,0.0204718668,0.0614753788,0.0537855547,0.0323707059,0.0861562607,0.0100000000,0.0246808819
0.0385346772,3.8534677229,0.0697759997,0.0309455623,0.1007215619,0.0771606081,0.0398496085,0.1170102166,0.0140763825,0.0162886547
0.0440998283,4.4099828262,0.0822494023,0.0427668131,0.1250162154,0.0962852540,0.0557536230,0.1520388771,0.0127836594,0.0270226616
0.0504686945,5.0468694500,0.1050067298,0.0488109159,0.1538176457,0.1383470136,0.0789858121,0.2173328257,0.0190848090,0.0635151801
0.0577573479,5.7757347930,0.1166461868,0.0590384213,0.1756846081,0.1315877309,0.0674360894,0.1990238204,0.0216956770,0.0233392123
0.0660986236,6.6098623571,0.1069082159,0.0638010855,0.1707093014,0.1364694647,0.0909426845,0.2274121492,0.0225935686,0.0567028478
0.0756445404,7.5644540384,0.1072505949,0.0661408194,0.1733914144,0.1331922019,0.0878909224,0.2210831243,0.0180381070,0.0476917099
0.0865690718,8.6569071802,0.1219808003,0.0532130205,0.1751938208,0.1347102146,0.0672877325,0.2019979471,0.0271889753,0.0268041263
0.0990713164,9.9071316378,0.1077611886,0.0585432682,0.1663044568,0.1648997579,0.0839418757,0.2488416336,0.0336311656,0.0825371768
0.1133791263,11.3379126338,0.1149280524,0.0869267665,0.2018548189,0.1738247313,0.1257258812,0.2995506125,0.0268782247,0.0976957936
0.1297532602,12.9753260169,0.1059989394,0.0645343886,0.1705333280,0.1781813897,0.1242991066,0.3024804963,0.0246636645,0.1319471683
0.1484921349,14.8492134913,0.1147342456,0.0804350884,0.1951693340,0.1622497655,0.1079566325,0.2702063980,0.0354373309,0.0750370640
0.1699372648,16.9937264792,0.1194645565,0.0902741425,0.2097386990,0.2112691408,0.1443804414,0.3556495822,0.0295841549,0.1459108832
0.1944794853,19.4479485273,0.0853659040,0.0771413454,0.1625072494,0.2384448213,0.1639965832,0.4024414045,0.0514137620,0.2399341550
0.2225660760,22.2566076006,0.1507368024,0.0809579530,0.2316947554,0.2880667469,0.1510831359,0.4391498828,0.0490427487,0.2074551274
0.2547089125,25.4708912456,0.1348105972,0.1008609271,0.2356715243,0.3345677633,0.1854325357,0.5200002990,0.0849108916,0.2843287747
0.2914937948,29.1493794781,0.1255613792,0.1014688532,0.2270302324,0.3396591816,0.1927753910,0.5324345726,0.0961715698,0.3054043402
0.3335911240,33.3591123987,0.1506640689,0.1019255745,0.2525896434,0.3949338276,0.2213730011,0.6163068288,0.1090585073,0.3637171853
0.3817681199,38.1768119924,0.1324058186,0.1015824436,0.2339882621,0.3950823344,0.2195186709,0.6146010053,0.1238065673,0.3806127432
0.4369028038,43.6902803793,0.1240286774,0.0859561426,0.2099848201,0.4422681063,0.2140706216,0.6563387280,0.1755337402,0.4463539079
0.5000000000,50.0000000000,0.1238605919,0.1038208886,0.2276814805,0.5021470247,0.2477237316,0.7498707563,0.2100000000,0.5221892759
